title,runtime,rating,votes,gross_earn,drama,action,crime,adventure,scifi,romance,mystery,western,fantasy,thriller,war,biography,history,comedy,animation,family,horror,music,sport,musical,filmnoir,missing_genre,cert_12,cert_12A,cert_15,cert_18,cert_U,cert_nan
Terminator 2: Judgment Day,137.0,8.6,1081554,204.84,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Usual Suspects,106.0,8.5,1071201,23.34,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Braveheart,178.0,8.4,1026238,75.6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kill Bill: Vol. 1,111.0,8.2,1097925,70.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Back to the Future,116.0,8.5,1179469,210.61,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Goodfellas,145.0,8.7,1137965,46.84,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Leon,110.0,8.5,1141442,19.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WALL·E,98.0,8.4,1098734,223.81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
The Sixth Sense,107.0,8.2,979569,293.51,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Hunger Games,142.0,7.2,907228,408.01,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Iron Man,126.0,7.9,1042059,318.41,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Finding Nemo,100.0,8.2,1029876,380.84,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Star Wars: Return of the Jedi,131.0,8.3,1037803,309.13,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
One Flew Over the Cuckoo's Nest,133.0,8.7,994171,112.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Guardians of the Galaxy,121.0,8.0,1157753,333.18,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Truman Show,103.0,8.2,1056090,125.62,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eternal Sunshine of the Spotless Mind,108.0,8.3,992622,34.4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Up,96.0,8.3,1028031,293.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Reservoir Dogs,99.0,8.3,1002382,2.83,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Raiders of the Lost Ark,115.0,8.4,953762,248.16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sin City,124.0,8.0,764668,74.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Lion King,88.0,8.5,1039701,422.78,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Slumdog Millionaire,120.0,8.0,839114,141.32,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Hobbit: An Unexpected Journey,169.0,7.8,811320,303.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Toy Story,81.0,8.3,978664,191.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
